carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-11,56,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-11,56,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-12,57,380
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-12,57,487
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-12,57,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-12,57,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-12,57,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-13,58,380
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-13,58,487
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-13,58,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-13,58,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-13,58,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-14,59,380
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-14,59,558
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-14,59,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-14,59,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-14,59,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-15,60,370
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-15,60,477
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-15,60,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-15,60,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-15,60,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-16,61,370
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-16,61,477
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-16,61,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-16,61,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-16,61,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-17,62,370
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-17,62,477
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-17,62,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-17,62,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-17,62,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-18,63,370
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-18,63,477
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-18,63,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-18,63,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-18,63,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-19,64,380
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-19,64,487
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-19,64,582
